S No,,fuel type,2WIC,2WN,2WT,3WIC,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH,Total
67,2016,CNG ONLY,0,0,0,0,0,985,0,2,0,765,"8,106",125,708,120,0,21,0,"10,832"
68,2016,DIESEL,0,0,0,0,0,0,4,145,0,7,"1,355","24,606",500,214,20,6,0,"26,857"
69,2016,DIESEL/HYBRID,0,0,0,0,0,0,0,0,0,0,0,"5,126",47,0,0,0,0,"5,173"
70,2016,ELECTRIC(BOV),0,18,0,0,0,"21,584",2,0,0,0,12,66,4,0,0,0,0,"21,686"
71,2016,PETROL,24,"4,57,049",0,0,0,0,47,0,0,0,33,"89,142","1,055",0,0,0,0,"5,47,350"
72,2016,PETROL/CNG,0,37,0,0,2,"13,692",6,0,0,0,807,"40,834","15,283",0,0,0,0,"70,661"
73,2016,PETROL/ETHANOL,,,,,,,,,,,,,,,,,,
74,2016,PETROL/HYBRID,0,0,0,0,0,0,0,0,0,0,0,479,12,0,0,0,0,491
75,2016,PURE EV,,,,,,,,,,,,,,,,,,
76,2016,STRONG HYBRID EV,,,,,,,,,,,,,,,,,,
77,2016,PLUG-IN HYBRID EV,,,,,,,,,,,,,,,,,,
78,2017,CNG ONLY,0,0,0,0,0,15,0,0,0,683,"10,869",6,486,807,0,7,0,"12,873"
79,2017,DIESEL,0,0,0,0,0,0,5,378,0,4,"1,147","34,266","1,270",49,1,0,0,"37,120"
80,2017,DIESEL/HYBRID,0,0,0,0,0,0,0,0,0,0,0,"6,593",190,0,0,0,0,"6,783"
81,2017,ELECTRIC(BOV),0,69,0,0,0,"17,825",0,0,0,0,11,69,68,0,0,0,0,"18,042"
82,2017,PETROL,30,"4,79,721",0,0,0,0,56,0,0,0,53,"1,00,073",264,0,0,0,0,"5,80,197"
83,2017,PETROL/CNG,0,0,0,0,4,"11,548",17,0,0,0,4,"36,269","5,948",0,0,0,0,"53,790"
84,2017,PETROL/ETHANOL,,,,,,,,,,,,,,,,,,
85,2017,PETROL/HYBRID,0,0,0,0,0,0,0,0,0,0,0,393,19,0,0,0,0,412
86,2017,PURE EV,,,,,,,,,,,,,,,,,,
87,2017,STRONG HYBRID EV,,,,,,,,,,,,,,,,,,
88,2017,PLUG-IN HYBRID EV,,,,,,,,,,,,,,,,,,
89,2018,CNG ONLY,0,0,0,0,0,10,0,0,0,370,"16,228",7,533,"1,732",0,1,0,"18,881"
90,2018,DIESEL,0,0,0,0,0,0,12,378,0,0,864,"31,379","1,475",43,21,0,0,"34,172"
91,2018,DIESEL/HYBRID,0,0,0,0,0,0,1,0,0,0,0,"1,886",0,0,0,0,0,"1,887"
92,2018,ELECTRIC(BOV),2,254,0,0,0,"20,287",0,0,0,0,0,257,151,0,0,0,0,"20,951"
93,2018,PETROL,34,"4,93,550",0,0,0,0,67,0,0,0,20,"93,774",160,0,0,0,0,"5,87,605"
94,2018,PETROL/CNG,0,1,0,0,3,"14,782",9,0,0,0,5,"35,622","6,275",0,0,0,0,"56,697"
95,2018,PETROL/ETHANOL,,,,,,,,,,,,,,,,,,
96,2018,PETROL/HYBRID,0,0,0,0,0,0,1,0,0,0,0,"2,236",0,0,0,0,0,"2,237"
97,2018,PURE EV,,,,,,,,,,,,,,,,,,
98,2018,STRONG HYBRID EV,,,,,,,,,,,,,,,,,,
99,2018,PLUG-IN HYBRID EV,,,,,,,,,,,,,,,,,,
100,2019,CNG ONLY,0,0,0,0,0,2,0,150,0,859,"16,311",8,287,"2,149",0,0,0,"19,766"
101,2019,DIESEL,0,0,0,0,0,0,9,205,0,4,494,"24,289",433,22,2,0,0,"25,458"
102,2019,DIESEL/HYBRID,0,0,0,0,0,0,0,0,0,0,0,766,0,0,0,0,0,766
103,2019,ELECTRIC(BOV),0,"1,060",0,0,0,"21,707",0,0,0,0,1,192,260,0,0,1,0,"23,221"
104,2019,PETROL,60,"4,28,798",0,0,0,0,41,0,0,0,3,"89,014",49,0,0,0,0,"5,17,965"
105,2019,PETROL/CNG,0,0,0,0,3,"8,714",4,0,0,0,1,"28,914","5,969",0,0,0,0,"43,605"
106,2019,PETROL/ETHANOL,,,,,,,,,,,,,,,,,,
107,2019,PETROL/HYBRID,0,0,0,0,0,0,5,0,0,0,0,"8,654",0,0,0,0,0,"8,659"
108,2019,PURE EV,,,,,,,,,,,,,,,,,,
109,2019,STRONG HYBRID EV,,,,,,,,,,,,,,,,,,
